,Unnamed: 0_level_0,Unnamed: 1_level_0,Total,Total,Total,Taux,Taux,Taux,Nouveaux par jour,Nouveaux par jour,Nouveaux par jour
,Date,Pays,Cas,Morts,Guérisons,% Décès,% Guérison,% Malade,Cas,Décès,Guérisons
0,2020-06-21,Chine,84 556,4 639,79 534,"5,49%","94,06%","0,45%",+1 176,+5,+1 122
1,2020-06-20,Chine,83 380,4 634,78 412,"5,56%","94,04%","0,40%",+55,0,+14
2,2020-06-19,Chine,83 325,4 634,78 398,"5,56%","94,09%","0,35%",0,0,0
3,2020-06-18,Chine,83 325,4 634,78 398,"5,56%","94,09%","0,35%",+32,0,+4
4,2020-06-17,Chine,83 293,4 634,78 394,"5,56%","94,12%","0,32%",+28,0,+15
5,2020-06-16,Chine,83 265,4 634,78 379,"5,57%","94,13%","0,30%",+44,0,+2
6,2020-06-15,Chine,83 221,4 634,78 377,"5,57%","94,18%","0,25%",+40,0,+7
7,2020-06-14,Chine,83 181,4 634,78 370,"5,57%","94,22%","0,21%",+49,0,+1
8,2020-06-13,Chine,83 132,4 634,78 369,"5,57%","94,27%","0,16%",+57,0,+2
9,2020-06-12,Chine,83 075,4 634,78 367,"5,58%","94,33%","0,09%",+11,0,+3
10,2020-06-11,Chine,83 064,4 634,78 364,"5,58%","94,34%","0,08%",+7,0,+4
11,2020-06-10,Chine,83 057,4 634,78 360,"5,58%","94,34%","0,08%",+11,0,+4
12,2020-06-09,Chine,83 046,4 634,78 356,"5,58%","94,35%","0,07%",+3,0,+6
13,2020-06-08,Chine,83 043,4 634,78 350,"5,58%","94,35%","0,07%",+3,0,+10
14,2020-06-07,Chine,83 040,4 634,78 340,"5,58%","94,34%","0,08%",+4,0,+9
15,2020-06-06,Chine,83 036,4 634,78 331,"5,58%","94,33%","0,09%",+6,0,+1
16,2020-06-05,Chine,83 030,4 634,78 330,"5,58%","94,34%","0,08%",+3,0,+2
17,2020-06-04,Chine,83 027,4 634,78 328,"5,58%","94,34%","0,08%",+5,0,+8
18,2020-06-03,Chine,83 022,4 634,78 320,"5,58%","94,34%","0,08%",-1,0,+3
19,2020-06-02,Chine,83 023,4 634,78 317,"5,58%","94,33%","0,09%",+1,0,+1
20,2020-06-01,Chine,83 022,4 634,78 316,"5,58%","94,33%","0,09%",+5,0,+9
21,2020-05-31,Chine,83 017,4 634,78 307,"5,58%","94,33%","0,09%",+16,0,+2
22,2020-05-30,Chine,83 001,4 634,78 305,"5,58%","94,34%","0,07%",+2,0,+3
23,2020-05-29,Chine,82 999,4 634,78 302,"5,58%","94,34%","0,08%",+4,0,+11
24,2020-05-28,Chine,82 995,4 634,78 291,"5,58%","94,33%","0,08%",0,0,+3
25,2020-05-27,Chine,82 995,4 634,78 288,"5,58%","94,33%","0,09%",+2,0,+8
26,2020-05-26,Chine,82 993,4 634,78 280,"5,58%","94,32%","0,10%",+1,0,+3
27,2020-05-25,Chine,82 992,4 634,78 277,"5,58%","94,32%","0,10%",+7,0,+9
28,2020-05-24,Chine,82 985,4 634,78 268,"5,58%","94,32%","0,10%",+11,0,+7
29,2020-05-23,Chine,82 974,4 634,78 261,"5,58%","94,32%","0,10%",+3,0,+3
30,2020-05-22,Chine,82 971,4 634,78 258,"5,59%","94,32%","0,10%",+8,0,+17
31,2020-05-21,Chine,82 963,4 634,78 241,"5,59%","94,31%","0,11%",0,0,0
32,2020-05-20,Chine,82 963,4 634,78 241,"5,59%","94,31%","0,11%",0,0,0
33,2020-05-19,Chine,82 963,4 634,78 241,"5,59%","94,31%","0,11%",0,0,0
34,2020-05-18,Chine,82 963,4 634,78 241,"5,59%","94,31%","0,11%",+9,0,+3
35,2020-05-17,Chine,82 954,4 634,78 238,"5,59%","94,31%","0,10%",+7,0,+11
36,2020-05-16,Chine,82 947,4 634,78 227,"5,59%","94,31%","0,10%",+6,+1,+8
37,2020-05-15,Chine,82 941,4 633,78 219,"5,59%","94,31%","0,11%",+8,0,+10
38,2020-05-14,Chine,82 933,4 633,78 209,"5,59%","94,30%","0,11%",+4,0,+14
39,2020-05-13,Chine,82 929,4 633,78 195,"5,59%","94,29%","0,12%",+3,0,+6
40,2020-05-12,Chine,82 926,4 633,78 189,"5,59%","94,29%","0,13%",+7,0,+18
41,2020-05-11,Chine,82 919,4 633,78 171,"5,59%","94,27%","0,14%",+1,0,+27
42,2020-05-10,Chine,82 918,4 633,78 144,"5,59%","94,24%","0,17%",+17,0,+24
43,2020-05-09,Chine,82 901,4 633,78 120,"5,59%","94,23%","0,18%",+14,0,+127
44,2020-05-08,Chine,82 887,4 633,77 993,"5,59%","94,10%","0,31%",+1,0,0
45,2020-05-07,Chine,82 886,4 633,77 993,"5,59%","94,10%","0,31%",+1,0,+36
46,2020-05-06,Chine,82 885,4 633,77 957,"5,59%","94,05%","0,36%",+2,0,+46
47,2020-05-05,Chine,82 883,4 633,77 911,"5,59%","94,00%","0,41%",+2,0,+58
48,2020-05-04,Chine,82 881,4 633,77 853,"5,59%","93,93%","0,48%",+1,0,+87
49,2020-05-03,Chine,82 880,4 633,77 766,"5,59%","93,83%","0,58%",+5,0,+81
50,2020-05-02,Chine,82 875,4 633,77 685,"5,59%","93,74%","0,67%",0,0,+6
51,2020-05-01,Chine,82 875,4 633,77 679,"5,59%","93,73%","0,68%",+1,0,+37
52,2020-04-30,Chine,82 874,4 633,77 642,"5,59%","93,69%","0,72%",+12,0,+32
53,2020-04-29,Chine,82 862,4 633,77 610,"5,59%","93,66%","0,75%",+4,0,+32
54,2020-04-28,Chine,82 858,4 633,77 578,"5,59%","93,63%","0,78%",+22,0,+23
55,2020-04-27,Chine,82 836,4 633,77 555,"5,59%","93,62%","0,78%",+6,0,+81
56,2020-04-26,Chine,82 830,4 633,77 474,"5,59%","93,53%","0,87%",+3,+1,+80
57,2020-04-25,Chine,82 827,4 632,77 394,"5,59%","93,44%","0,97%",+8,0,+37
58,2020-04-24,Chine,82 819,4 632,77 357,"5,59%","93,40%","1,00%",+15,0,+100
59,2020-04-23,Chine,82 804,4 632,77 257,"5,59%","93,30%","1,11%",+14,0,+100
60,2020-04-22,Chine,82 790,4 632,77 157,"5,59%","93,20%","1,21%",+11,0,+32
61,2020-04-21,Chine,82 779,4 632,77 125,"5,60%","93,17%","1,23%",+32,0,+32
62,2020-04-20,Chine,82 747,4 632,77 093,"5,60%","93,17%","1,24%",+12,0,+25
63,2020-04-19,Chine,82 735,4 632,77 068,"5,60%","93,15%","1,25%",+17,0,+39
64,2020-04-18,Chine,82 718,4 632,77 029,"5,60%","93,12%","1,28%",+24,0,+26
65,2020-04-17,Chine,82 694,4 632,77 003,"5,60%","93,12%","1,28%",+353,+1 290,-897
66,2020-04-16,Chine,82 341,3 342,77 900,"4,06%","94,61%","1,33%",+47,0,+64
67,2020-04-15,Chine,82 294,3 342,77 836,"4,06%","94,58%","1,36%",+45,+1,+83
68,2020-04-14,Chine,82 249,3 341,77 753,"4,06%","94,53%","1,40%",+90,0,+87
69,2020-04-13,Chine,82 159,3 341,77 666,"4,07%","94,53%","1,40%",+74,+2,+83
70,2020-04-12,Chine,82 085,3 339,77 583,"4,07%","94,52%","1,42%",+116,0,+52
71,2020-04-11,Chine,81 969,3 339,77 531,"4,07%","94,59%","1,34%",+62,+3,+59
72,2020-04-10,Chine,81 907,3 336,77 472,"4,07%","94,59%","1,34%",+42,+1,+96
73,2020-04-09,Chine,81 865,3 335,77 376,"4,07%","94,52%","1,41%",+61,+2,+83
74,2020-04-08,Chine,81 804,3 333,77 293,"4,07%","94,49%","1,44%",+65,+2,+109
75,2020-04-07,Chine,81 739,3 331,77 184,"4,08%","94,43%","1,50%",+32,0,+100
76,2020-04-06,Chine,81 707,3 331,77 084,"4,08%","94,34%","1,58%",+39,+2,+93
77,2020-04-05,Chine,81 668,3 329,76 991,"4,08%","94,27%","1,65%",+30,+3,+228
78,2020-04-04,Chine,81 638,3 326,76 763,"4,07%","94,03%","1,90%",+15,+4,+186
79,2020-04-03,Chine,81 623,3 322,76 577,"4,07%","93,82%","2,11%",+34,+4,+169
80,2020-04-02,Chine,81 589,3 318,76 408,"4,07%","93,65%","2,28%",+34,+6,+166
81,2020-04-01,Chine,81 555,3 312,76 242,"4,06%","93,49%","2,45%",+31,+7,+180
82,2020-03-31,Chine,81 524,3 305,76 062,"4,05%","93,30%","2,65%",+46,+1,+278
83,2020-03-30,Chine,81 478,3 304,75 784,"4,06%","93,01%","2,93%",+34,+4,+330
84,2020-03-29,Chine,81 444,3 300,75 454,"4,05%","92,65%","3,30%",+43,+5,+482
85,2020-03-28,Chine,81 401,3 295,74 972,"4,05%","92,10%","3,85%",+56,+3,+378
86,2020-03-27,Chine,81 345,3 292,74 594,"4,05%","91,70%","4,25%",+47,+5,+539
87,2020-03-26,Chine,81 298,3 287,74 055,"4,04%","91,09%","4,87%",+77,+6,+400
88,2020-03-25,Chine,81 221,3 281,73 655,"4,04%","90,68%","5,28%",+41,+4,+492
89,2020-03-24,Chine,81 180,3 277,73 163,"4,04%","90,12%","5,84%",+64,+7,+454
90,2020-03-23,Chine,81 116,3 270,72 709,"4,03%","89,64%","6,33%",+56,+9,+457
91,2020-03-22,Chine,81 060,3 261,72 252,"4,02%","89,13%","6,84%",+46,+6,+503
92,2020-03-21,Chine,81 014,3 255,71 749,"4,02%","88,56%","7,42%",+37,+6,+591
93,2020-03-20,Chine,80 977,3 249,71 158,"4,01%","87,87%","8,11%",+46,+4,+728
94,2020-03-19,Chine,80 931,3 245,70 430,"4,01%","87,02%","8,97%",+25,+8,+777
95,2020-03-18,Chine,80 906,3 237,69 653,"4,00%","86,09%","9,91%",+22,+11,+953
96,2020-03-17,Chine,80 884,3 226,68 700,"3,99%","84,94%","11,08%",+17,+13,+884
97,2020-03-16,Chine,80 867,3 213,67 816,"3,97%","83,86%","12,17%",+19,+14,+890
98,2020-03-15,Chine,80 848,3 199,66 926,"3,96%","82,78%","13,26%",+21,+10,+1 354
99,2020-03-14,Chine,80 827,3 189,65 572,"3,95%","81,13%","14,93%",+26,+13,+1 463
100,2020-03-13,Chine,80 801,3 176,64 109,"3,93%","79,34%","16,73%",+8,+7,+1 285
101,2020-03-12,Chine,80 793,3 169,62 824,"3,92%","77,76%","18,32%",+8,+11,+1 255
102,2020-03-11,Chine,80 785,3 158,61 569,"3,91%","76,21%","19,88%",+28,+22,+1 463
103,2020-03-10,Chine,80 757,3 136,60 106,"3,88%","74,43%","21,69%",+22,+16,+1 371
104,2020-03-09,Chine,80 735,3 120,58 735,"3,86%","72,75%","23,39%",+36,+23,+1 415
105,2020-03-08,Chine,80 699,3 097,57 320,"3,84%","71,03%","25,13%",+47,+27,+1 842
106,2020-03-07,Chine,80 652,3 070,55 478,"3,81%","68,79%","27,41%",+79,+28,+1 590
107,2020-03-06,Chine,80 573,3 042,53 888,"3,78%","66,88%","29,34%",+151,+29,+1 648
108,2020-03-05,Chine,80 422,3 013,52 240,"3,75%","64,96%","31,30%",+151,+32,+2 285
109,2020-03-04,Chine,80 271,2 981,49 955,"3,71%","62,23%","34,05%",+120,+36,+2 551
110,2020-03-03,Chine,80 151,2 945,47 404,"3,67%","59,14%","37,18%",+125,+33,+2 594
111,2020-03-02,Chine,80 026,2 912,44 810,"3,64%","55,99%","40,37%",+200,+42,+2 692
112,2020-03-01,Chine,79 826,2 870,42 118,"3,60%","52,76%","43,64%",+575,+35,+2 839
113,2020-02-29,Chine,79 251,2 835,39 279,"3,58%","49,56%","46,86%",+427,+47,+2 988
114,2020-02-28,Chine,78 824,2 788,36 291,"3,54%","46,04%","50,42%",+326,+44,+3 393
115,2020-02-27,Chine,78 498,2 744,32 898,"3,50%","41,91%","54,60%",+433,+29,+2 845
116,2020-02-26,Chine,78 065,2 715,30 053,"3,48%","38,50%","58,02%",+405,+52,+2 403
117,2020-02-25,Chine,77 660,2 663,27 650,"3,43%","35,60%","60,97%",+508,+70,+2 660
118,2020-02-24,Chine,77 152,2 593,24 990,"3,36%","32,39%","64,25%",+214,+150,+1 820
119,2020-02-23,Chine,76 938,2 443,23 170,"3,18%","30,12%","66,71%",+16,+2,+483
120,2020-02-22,Chine,76 922,2 441,22 687,"3,17%","29,49%","67,33%",+1 450,+205,+3 994
121,2020-02-21,Chine,75 472,2 236,18 693,"2,96%","24,77%","72,27%",+473,0,+691
122,2020-02-20,Chine,74 999,2 236,18 002,"2,98%","24,00%","73,02%",+453,+122,+2 050
123,2020-02-19,Chine,74 546,2 114,15 952,"2,84%","21,40%","75,77%",+407,+112,+1 753
124,2020-02-18,Chine,74 139,2 002,14 199,"2,70%","19,15%","78,15%",+1 775,+139,+1 744
125,2020-02-17,Chine,72 364,1 863,12 455,"2,57%","17,21%","80,21%",+1 918,+98,+1 707
126,2020-02-16,Chine,70 446,1 765,10 748,"2,51%","15,26%","82,24%",+2 099,+103,+1 454
127,2020-02-15,Chine,68 347,1 662,9 294,"2,43%","13,60%","83,97%",+2 055,+142,+1 321
128,2020-02-14,Chine,66 292,1 520,7 973,"2,29%","12,03%","85,68%",+6 460,+152,+1 760
129,2020-02-13,Chine,59 832,1 368,6 213,"2,29%","10,38%","87,33%",+15 133,+252,+1 134
130,2020-02-12,Chine,44 699,1 116,5 079,"2,50%","11,36%","86,14%",+372,+5,+444
131,2020-02-11,Chine,44 327,1 111,4 635,"2,51%","10,46%","87,04%",+2 021,+100,+718
132,2020-02-10,Chine,42 306,1 011,3 917,"2,39%","9,26%","88,35%",+2 516,+107,+699
133,2020-02-09,Chine,39 790,904,3 218,"2,27%","8,09%","89,64%",+3 012,+100,+623
134,2020-02-08,Chine,36 778,804,2 595,"2,19%","7,06%","90,76%",+2 703,+87,+597
135,2020-02-07,Chine,34 075,717,1 998,"2,10%","5,86%","92,03%",+3 522,+85,+522
136,2020-02-06,Chine,30 553,632,1 476,"2,07%","4,83%","93,10%",+3 144,+70,+361
137,2020-02-05,Chine,27 409,562,1 115,"2,05%","4,07%","93,88%",+3 729,+72,+272
138,2020-02-04,Chine,23 680,490,843,"2,07%","3,56%","94,37%",+3 987,+65,+229
139,2020-02-03,Chine,19 693,425,614,"2,16%","3,12%","94,72%",+3 086,+64,+151
140,2020-02-02,Chine,16 607,361,463,"2,17%","2,79%","95,04%",+4 736,+102,+188
141,2020-02-01,Chine,11 871,259,275,"2,18%","2,32%","95,50%",+2 088,+46,+61
142,2020-01-31,Chine,9 783,213,214,"2,18%","2,19%","95,64%",+1 659,+42,+79
143,2020-01-30,Chine,8 124,171,135,"2,10%","1,66%","96,23%",+2 054,+38,+15
144,2020-01-29,Chine,6 070,133,120,"2,19%","1,98%","95,83%",+576,+2,+19
145,2020-01-28,Chine,5 494,131,101,"2,38%","1,84%","95,78%",+2 631,+49,+43
146,2020-01-27,Chine,2 863,82,58,"2,86%","2,03%","95,11%",+801,+26,+9
147,2020-01-26,Chine,2 062,56,49,"2,72%","2,38%","94,91%",+663,+14,+10
148,2020-01-25,Chine,1 399,42,39,"3,00%","2,79%","94,21%",+483,+16,+3
149,2020-01-24,Chine,916,26,36,"2,84%","3,93%","93,23%",+277,+8,+6
