,Unnamed: 0_level_0,Unnamed: 1_level_0,Total,Total,Total,Taux,Taux,Taux,Nouveaux par jour,Nouveaux par jour,Nouveaux par jour
,Date,Pays,Cas,Morts,Guérisons,% Décès,% Guérison,% Malade,Cas,Décès,Guérisons
0,2020-06-21,Italie,238 499,34 634,182 893,"14,52%","76,69%","8,79%",+224,24,+440
1,2020-06-20,Italie,238 275,34 610,182 453,"14,53%","76,57%","8,90%",+264,49,+546
2,2020-06-19,Italie,238 011,34 561,181 907,"14,52%","76,43%","9,05%",-148,47,+1 363
3,2020-06-18,Italie,238 159,34 514,180 544,"14,49%","75,81%","9,70%",+331,66,+1 089
4,2020-06-17,Italie,237 828,34 448,179 455,"14,48%","75,46%","10,06%",+328,43,+929
5,2020-06-16,Italie,237 500,34 405,178 526,"14,49%","75,17%","10,34%",+210,34,+1 516
6,2020-06-15,Italie,237 290,34 371,177 010,"14,48%","74,60%","10,92%",+301,26,+640
7,2020-06-14,Italie,236 989,34 345,176 370,"14,49%","74,42%","11,09%",+338,44,+1 505
8,2020-06-13,Italie,236 651,34 301,174 865,"14,49%","73,89%","11,61%",+346,78,+1 780
9,2020-06-12,Italie,236 305,34 223,173 085,"14,48%","73,25%","12,27%",+163,56,+1 747
10,2020-06-11,Italie,236 142,34 167,171 338,"14,47%","72,56%","12,97%",+379,53,+1 399
11,2020-06-10,Italie,235 763,34 114,169 939,"14,47%","72,08%","13,45%",+202,71,+1 293
12,2020-06-09,Italie,235 561,34 043,168 646,"14,45%","71,59%","13,95%",+283,79,+2 062
13,2020-06-08,Italie,235 278,33 964,166 584,"14,44%","70,80%","14,76%",+280,65,+747
14,2020-06-07,Italie,234 998,33 899,165 837,"14,43%","70,57%","15,01%",+197,53,+759
15,2020-06-06,Italie,234 801,33 846,165 078,"14,41%","70,31%","15,28%",+270,72,+1 297
16,2020-06-05,Italie,234 531,33 774,163 781,"14,40%","69,83%","15,77%",+518,85,+1 886
17,2020-06-04,Italie,234 013,33 689,161 895,"14,40%","69,18%","16,42%",+177,88,+957
18,2020-06-03,Italie,233 836,33 601,160 938,"14,37%","68,83%","16,81%",+321,71,+846
19,2020-06-02,Italie,233 515,33 530,160 092,"14,36%","68,56%","17,08%",+318,55,+1 737
20,2020-06-01,Italie,233 197,33 475,158 355,"14,35%","67,91%","17,74%",+200,60,+848
21,2020-05-31,Italie,232 997,33 415,157 507,"14,34%","67,60%","18,06%",+333,75,+1 874
22,2020-05-30,Italie,232 664,33 340,155 633,"14,33%","66,89%","18,78%",+416,111,+2 789
23,2020-05-29,Italie,232 248,33 229,152 844,"14,31%","65,81%","19,88%",+516,87,+2 240
24,2020-05-28,Italie,231 732,33 142,150 604,"14,30%","64,99%","20,71%",+593,70,+3 503
25,2020-05-27,Italie,231 139,33 072,147 101,"14,31%","63,64%","22,05%",+584,117,+2 443
26,2020-05-26,Italie,230 555,32 955,144 658,"14,29%","62,74%","22,96%",+397,78,+2 677
27,2020-05-25,Italie,230 158,32 877,141 981,"14,28%","61,69%","24,03%",+300,92,+1 502
28,2020-05-24,Italie,229 858,32 785,140 479,"14,26%","61,12%","24,62%",+531,50,+1 639
29,2020-05-23,Italie,229 327,32 735,138 840,"14,27%","60,54%","25,18%",+669,119,+2 120
30,2020-05-22,Italie,228 658,32 616,136 720,"14,26%","59,79%","25,94%",+652,130,+2 160
31,2020-05-21,Italie,228 006,32 486,134 560,"14,25%","59,02%","26,74%",+642,156,+2 278
32,2020-05-20,Italie,227 364,32 330,132 282,"14,22%","58,18%","27,60%",+665,161,+2 881
33,2020-05-19,Italie,226 699,32 169,129 401,"14,19%","57,08%","28,73%",+813,162,+2 075
34,2020-05-18,Italie,225 886,32 007,127 326,"14,17%","56,37%","29,46%",+451,99,+2 150
35,2020-05-17,Italie,225 435,31 908,125 176,"14,15%","55,53%","30,32%",+675,145,+2 366
36,2020-05-16,Italie,224 760,31 763,122 810,"14,13%","54,64%","31,23%",+875,153,+2 605
37,2020-05-15,Italie,223 885,31 610,120 205,"14,12%","53,69%","32,19%",+789,242,+4 917
38,2020-05-14,Italie,223 096,31 368,115 288,"14,06%","51,68%","34,26%",+992,262,+2 747
39,2020-05-13,Italie,222 104,31 106,112 541,"14,01%","50,67%","35,32%",+888,195,+3 502
40,2020-05-12,Italie,221 216,30 911,109 039,"13,97%","49,29%","36,74%",+1 402,172,+2 452
41,2020-05-11,Italie,219 814,30 739,106 587,"13,98%","48,49%","37,53%",+744,179,+1 401
42,2020-05-10,Italie,219 070,30 560,105 186,"13,95%","48,01%","38,04%",+802,165,+2 155
43,2020-05-09,Italie,218 268,30 395,103 031,"13,93%","47,20%","38,87%",+1 083,194,+4 008
44,2020-05-08,Italie,217 185,30 201,99 023,"13,91%","45,59%","40,50%",+1 327,243,+2 747
45,2020-05-07,Italie,215 858,29 958,96 276,"13,88%","44,60%","41,52%",+1 401,274,+3 031
46,2020-05-06,Italie,214 457,29 684,93 245,"13,84%","43,48%","42,68%",+1 444,369,+8 014
47,2020-05-05,Italie,213 013,29 315,85 231,"13,76%","40,01%","46,23%",+1 075,236,+2 352
48,2020-05-04,Italie,211 938,29 079,82 879,"13,72%","39,11%","47,17%",+1 221,195,+1 225
49,2020-05-03,Italie,210 717,28 884,81 654,"13,71%","38,75%","47,54%",+1 389,174,+1 740
50,2020-05-02,Italie,209 328,28 710,79 914,"13,72%","38,18%","48,11%",+1 900,474,+1 665
51,2020-05-01,Italie,207 428,28 236,78 249,"13,61%","37,72%","48,66%",+1 965,269,+2 304
52,2020-04-30,Italie,205 463,27 967,75 945,"13,61%","36,96%","49,43%",+1 872,285,+4 693
53,2020-04-29,Italie,203 591,27 682,71 252,"13,60%","35,00%","51,41%",+2 086,323,+2 311
54,2020-04-28,Italie,201 505,27 359,68 941,"13,58%","34,21%","52,21%",+2 091,382,+2 317
