,Unnamed: 0_level_0,Unnamed: 1_level_0,Total,Total,Total,Taux,Taux,Taux,Nouveaux par jour,Nouveaux par jour,Nouveaux par jour
,Date,Pays,Cas,Morts,Guérisons,% Décès,% Guérison,% Malade,Cas,Décès,Guérisons
0,2020-06-21,Maroc,9 977,214,8 284,"2,14%","83,03%","14,82%",138,1,61
1,2020-06-20,Maroc,9 839,213,8 223,"2,16%","83,58%","14,26%",226,0,106
2,2020-06-19,Maroc,9 613,213,8 117,"2,22%","84,44%","13,35%",539,0,76
3,2020-06-18,Maroc,9 074,213,8 041,"2,35%","88,62%","9,04%",77,0,48
4,2020-06-17,Maroc,8 997,213,7 993,"2,37%","88,84%","8,79%",66,1,56
5,2020-06-16,Maroc,8 931,212,7 937,"2,37%","88,87%","8,76%",46,0,109
6,2020-06-15,Maroc,8 885,212,7 828,"2,39%","88,10%","9,51%",92,0,63
7,2020-06-14,Maroc,8 793,212,7 765,"2,41%","88,31%","9,28%",101,0,69
8,2020-06-13,Maroc,8 692,212,7 696,"2,44%","88,54%","9,02%",82,0,78
9,2020-06-12,Maroc,8 610,212,7 618,"2,46%","88,48%","9,06%",73,1,35
10,2020-06-11,Maroc,8 537,211,7 583,"2,47%","88,83%","8,70%",29,0,18
11,2020-06-10,Maroc,8 508,211,7 565,"2,48%","88,92%","8,60%",71,1,72
12,2020-06-09,Maroc,8 437,210,7 493,"2,49%","88,81%","8,70%",135,2,85
13,2020-06-08,Maroc,8 302,208,7 408,"2,51%","89,23%","8,26%",78,0,44
14,2020-06-07,Maroc,8 224,208,7 364,"2,53%","89,54%","7,93%",73,0,49
15,2020-06-06,Maroc,8 151,208,7 315,"2,55%","89,74%","7,70%",80,0,47
16,2020-06-05,Maroc,8 071,208,7 268,"2,58%","90,05%","7,37%",68,0,73
17,2020-06-04,Maroc,8 003,208,7 195,"2,60%","89,90%","7,50%",81,2,329
18,2020-06-03,Maroc,7 922,206,6 866,"2,60%","86,67%","10,73%",56,0,456
19,2020-06-02,Maroc,7 866,206,6 410,"2,62%","81,49%","15,89%",33,1,517
20,2020-06-01,Maroc,7 833,205,5 893,"2,62%","75,23%","22,15%",26,0,434
21,2020-05-31,Maroc,7 807,205,5 459,"2,63%","69,92%","27,45%",27,1,58
22,2020-05-30,Maroc,7 780,204,5 401,"2,62%","69,42%","27,96%",66,2,130
23,2020-05-29,Maroc,7 714,202,5 271,"2,62%","68,33%","29,05%",71,0,76
24,2020-05-28,Maroc,7 643,202,5 195,"2,64%","67,97%","29,39%",42,0,217
25,2020-05-27,Maroc,7 601,202,4 978,"2,66%","65,49%","31,85%",24,0,97
26,2020-05-26,Maroc,7 577,202,4 881,"2,67%","64,42%","32,92%",45,2,107
27,2020-05-25,Maroc,7 532,200,4 774,"2,66%","63,38%","33,96%",99,1,71
28,2020-05-24,Maroc,7 433,199,4 703,"2,68%","63,27%","34,05%",27,1,65
29,2020-05-23,Maroc,7 406,198,4 638,"2,67%","62,62%","34,70%",74,1,261
30,2020-05-22,Maroc,7 332,197,4 377,"2,69%","59,70%","37,62%",121,1,97
31,2020-05-21,Maroc,7 211,196,4 280,"2,72%","59,35%","37,93%",78,2,182
32,2020-05-20,Maroc,7 133,194,4 098,"2,72%","57,45%","39,83%",110,1,197
33,2020-05-19,Maroc,7 023,193,3 901,"2,75%","55,55%","41,71%",71,1,143
34,2020-05-18,Maroc,6 952,192,3 758,"2,76%","54,06%","43,18%",82,0,98
35,2020-05-17,Maroc,6 870,192,3 660,"2,79%","53,28%","43,93%",129,0,173
36,2020-05-16,Maroc,6 741,192,3 487,"2,85%","51,73%","45,42%",89,2,87
37,2020-05-15,Maroc,6 652,190,3 400,"2,86%","51,11%","46,03%",45,0,90
38,2020-05-14,Maroc,6 607,190,3 310,"2,88%","50,10%","47,03%",95,2,179
39,2020-05-13,Maroc,6 512,188,3 131,"2,89%","48,08%","49,03%",94,0,140
40,2020-05-12,Maroc,6 418,188,2 991,"2,93%","46,60%","50,47%",137,0,180
41,2020-05-11,Maroc,6 281,188,2 811,"2,99%","44,75%","52,25%",218,0,257
42,2020-05-10,Maroc,6 063,188,2 554,"3,10%","42,12%","54,77%",153,2,93
43,2020-05-09,Maroc,5 910,186,2 461,"3,15%","41,64%","55,21%",199,0,137
44,2020-05-08,Maroc,5 711,186,2 324,"3,26%","40,69%","56,05%",163,3,145
45,2020-05-07,Maroc,5 548,183,2 179,"3,30%","39,28%","57,43%",140,0,162
46,2020-05-06,Maroc,5 408,183,2 017,"3,38%","37,30%","59,32%",189,2,179
47,2020-05-05,Maroc,5 219,181,1 838,"3,47%","35,22%","61,31%",166,2,185
