,Unnamed: 0_level_0,Unnamed: 1_level_0,Totaux,Totaux,Totaux,Taux,Taux,Taux,Nouveaux,Nouveaux,Nouveaux
,Date,Pays,Cas,Décès,Guérisons,% Décès,% Guérisons,% Malades,Cas,Décès,Guéris
0,2020-06-21,États-Unis,2 269 463,119 868,617 460,"5,28%","27,21%","67,51%",+14 344,149,0
1,2020-06-21,Brésil,1 032 913,49 976,576 779,"4,84%","55,84%","39,32%",0,0,-12 295
2,2020-06-21,Russie,583 879,8 101,339 142,"1,39%","58,08%","40,53%",+7 717,109,+5 118
3,2020-06-21,Inde,410 451,13 254,227 728,"3,23%","55,48%","41,29%",-10,0,-28
4,2020-06-21,Royaume-Uni,305 803,42 717,1 319,"13,97%","0,43%","85,60%",+1 399,43,+176
5,2020-06-21,Pérou,251 338,7 861,143 017,"3,13%","56,90%","39,97%",0,0,0
6,2020-06-21,Espagne,246 272,28 323,150 376,"11,50%","61,06%","27,44%",+334,1,0
7,2020-06-21,Chili,242 355,4 479,200 569,"1,85%","82,76%","15,39%",+5 607,184,+3 960
8,2020-06-21,Italie,238 499,34 634,182 893,"14,52%","76,69%","8,79%",+224,24,+440
9,2020-06-21,Iran,204 952,9 623,163 591,"4,70%","79,82%","15,49%",+2 368,116,+2 207
10,2020-06-21,France,198 278,29 640,74 372,"14,95%","37,51%","47,54%",+284,7,+60
11,2020-06-21,Allemagne,191 272,8 895,174 740,"4,65%","91,36%","3,99%",+602,0,+131
12,2020-06-21,Turquie,187 685,4 950,160 240,"2,64%","85,38%","11,99%",+1 192,23,+1 412
13,2020-06-21,Pakistan,176 617,3 501,67 892,"1,98%","38,44%","59,58%",0,0,0
14,2020-06-21,Mexique,175 202,20 781,130 854,"11,86%","74,69%","13,45%",0,0,0
15,2020-06-21,Arabie Saoudite,157 612,1 267,101 130,"0,80%","64,16%","35,03%",+3 379,37,+2 213
16,2020-06-21,Bangladesh,112 306,1 464,45 077,"1,30%","40,14%","58,56%",+3 531,39,+1 084
17,2020-06-21,Canada,103 023,8 482,65 223,"8,23%","63,31%","28,46%",+261,16,+397
18,2020-06-21,Afrique du Sud,97 302,1 930,51 608,"1,98%","53,04%","44,98%",+4 621,53,+1 282
19,2020-06-21,Qatar,87 369,98,68 319,"0,11%","78,20%","21,69%",+881,4,+1 556
20,2020-06-21,Chine,84 556,4 639,79 534,"5,49%","94,06%","0,45%",+1 176,5,+1 122
21,2020-06-21,Colombie,65 813,2 235,25 549,"3,40%","38,82%","57,78%",+2 359,87,+1 514
22,2020-06-21,Belgique,60 550,9 696,16 771,"16,01%","27,70%","56,29%",0,0,0
23,2020-06-21,Bélarus,58 505,346,37 666,"0,59%","64,38%","35,03%",+569,3,+917
24,2020-06-21,Suède,56 043,5 053,0,"9,02%","0,00%","90,98%",0,0,0
25,2020-06-21,Égypte,55 233,2 193,14 736,"3,97%","26,68%","69,35%",+1 475,87,+409
26,2020-06-21,Équateur,50 640,4 223,24 991,"8,34%","49,35%","42,31%",+909,67,+545
27,2020-06-21,Pays-Bas,49 801,6 109,186,"12,27%","0,37%","87,36%",+91,1,0
28,2020-06-21,Indonésie,45 891,2 465,18 404,"5,37%","40,10%","54,52%",+862,36,+521
29,2020-06-21,Émirats Arabes Unis,44 925,302,32 415,"0,67%","72,15%","27,17%",+392,1,+661
