,Unnamed: 0_level_0,Total,Total,Total,Taux,Taux,Taux,Nouveaux par jour,Nouveaux par jour,Nouveaux par jour
,Date,Cas,Morts,Guérisons,% Décès,% Guérison,% Malade,Cas,Décès,Guérisons
0,2020-06-21,8 858 407,465 823,4 399 131,"5,26%","49,66%","45,08%",+59 722,+1 293,+17 206
1,2020-06-20,8 798 685,464 530,4 381 925,"5,28%","49,80%","44,92%",+127 023,+4 449,+132 528
2,2020-06-19,8 671 662,460 081,4 249 397,"5,31%","49,00%","45,69%",+176 251,+6 033,+90 734
3,2020-06-18,8 495 411,454 048,4 158 663,"5,34%","48,95%","45,70%",+139 293,+5 026,+81 265
4,2020-06-17,8 356 118,449 022,4 077 398,"5,37%","48,80%","45,83%",+176 157,+5 274,+118 838
5,2020-06-16,8 179 961,443 748,3 958 560,"5,42%","48,39%","46,18%",+140 157,+6 788,+97 897
6,2020-06-15,8 039 804,436 960,3 860 663,"5,43%","48,02%","46,55%",+133 664,+3 833,+87 913
7,2020-06-14,7 906 140,433 127,3 772 750,"5,48%","47,72%","46,80%",+134 088,+3 332,+71 422
8,2020-06-13,7 772 052,429 795,3 701 328,"5,53%","47,62%","46,85%",+134 283,+4 342,+85 058
9,2020-06-12,7 637 769,425 453,3 616 270,"5,57%","47,35%","47,08%",+118 483,+3 936,+72 770
10,2020-06-11,7 519 286,421 517,3 543 500,"5,61%","47,13%","47,27%",+154 503,+5 291,+85 894
11,2020-06-10,7 364 783,416 226,3 457 606,"5,65%","46,95%","47,40%",+118 074,+4 765,+79 164
12,2020-06-09,7 246 709,411 461,3 378 442,"5,68%","46,62%","47,70%",+123 573,+4 862,+82 292
13,2020-06-08,7 123 136,406 599,3 296 150,"5,71%","46,27%","48,02%",+108 533,+3 800,+152 672
14,2020-06-07,7 014 603,402 799,3 143 478,"5,74%","44,81%","49,44%",+113 715,+2 745,+55 122
15,2020-06-06,6 900 888,400 054,3 088 356,"5,80%","44,75%","49,45%",+127 130,+3 871,+84 705
16,2020-06-05,6 773 758,396 183,3 003 651,"5,85%","44,34%","49,81%",+136 911,+4 992,+131 223
17,2020-06-04,6 636 847,391 191,2 872 428,"5,89%","43,28%","50,83%",+127 967,+5 190,+65 023
